amb_municipio,municipio,colectividad,codpar,nombre_partido,votos_ca_partido,votos_ca_candidatos,votos_se,ratio_arrastre
0700331,TUTAZA,ALMA-OXIGENO,137,ALMA - OXÍGENO,1,1,0.0,0.0
0700334,UMBITA,ALMA-OXIGENO,137,ALMA - OXÍGENO,21,16,0.0,0.0
0700337,VENTAQUEMADA,ALMA-OXIGENO,137,ALMA - OXÍGENO,36,29,0.0,0.0
0700340,VIRACACHA,ALMA-OXIGENO,137,ALMA - OXÍGENO,12,8,0.0,0.0
0700346,ZETAQUIRA,ALMA-OXIGENO,137,ALMA - OXÍGENO,17,14,0.0,0.0
0700127,LABRANZAGRANDE,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,25,15,213.0,8.52
0700034,BUSBANZA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,21,13,82.0,3.9047619047619047
0700331,TUTAZA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,51,29,195.0,3.823529411764706
0700091,FLORESTA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,115,86,411.0,3.5739130434782607
0700235,SAMACA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,258,199,825.0,3.197674418604651
0700334,UMBITA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,108,59,333.0,3.0833333333333335
0700223,RONDON,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,93,59,276.0,2.967741935483871
0700202,PESCA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,143,95,392.0,2.7412587412587412
0700070,CHISCAS,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,129,74,345.0,2.6744186046511627
0700328,TUTA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,168,130,447.0,2.6607142857142856
0700016,BERBEO,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,38,29,100.0,2.6315789473684212
0700064,CHINAVITA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,118,72,303.0,2.5677966101694913
0700346,ZETAQUIRA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,114,74,274.0,2.4035087719298245
0700151,MIRAFLORES,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,196,134,465.0,2.372448979591837
0700247,SAN MATEO,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,251,157,594.0,2.366533864541833
0700313,TOCA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,149,98,338.0,2.2684563758389262
0700124,JERICO,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,223,118,504.0,2.2600896860986546
0700077,CHIVATA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,85,56,192.0,2.2588235294117647
0700058,COVARACHIA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,203,111,455.0,2.2413793103448274
0700286,SUSACON,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,107,74,237.0,2.2149532710280373
0700304,TIBANA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,145,87,319.0,2.2
0700301,TENZA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,90,57,197.0,2.188888888888889
0700205,PISBA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,43,20,94.0,2.186046511627907
0700166,NOBSA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,321,222,699.0,2.177570093457944
0700283,SOTAQUIRA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,241,177,520.0,2.1576763485477177
0700307,TIBASOSA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,345,232,744.0,2.1565217391304348
0700008,AQUITANIA (PUEBLOVIEJO),CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,524,314,1129.0,2.154580152671756
0700289,SUTAMARCHAN,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,326,252,701.0,2.1503067484662575
0700251,SANTA MARIA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,74,45,158.0,2.135135135135135
0700049,COMBITA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,216,163,455.0,2.1064814814814814
0700082,EL COCUY,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,216,127,455.0,2.1064814814814814
0700040,CAMPOHERMOSO,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,132,110,275.0,2.0833333333333335
0700319,TOPAGA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,193,128,402.0,2.082901554404145
0700118,IZA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,140,105,291.0,2.0785714285714287
0700046,CIENEGA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,182,130,364.0,2.0
